"","dim","delta","ir","Comparison","Difference"
"329",2,0,0.75,"ACDC2",0.501216666666667
"330",2,0,1,"ACDC2",0.5
"331",2,0.25,0.1,"ACDC2",0.505746268656716
"332",2,0.25,0.25,"ACDC2",0.518639344262295
"333",2,0.25,0.5,"ACDC2",0.586586206896552
"334",2,0.25,0.75,"ACDC2",0.660220512820513
"335",2,0.25,1,"ACDC2",0.700810810810811
"336",2,0.5,0.1,"ACDC2",0.613018867924528
"337",2,0.5,0.25,"ACDC2",0.736481132075472
"338",2,0.5,0.5,"ACDC2",0.846118811881188
"339",2,0.5,0.75,"ACDC2",0.863088888888889
"340",2,0.5,1,"ACDC2",0.873071428571429
"341",2,0.75,0.1,"ACDC2",0.904533333333333
"342",2,0.75,0.25,"ACDC2",0.949939393939394
"343",2,0.75,0.5,"ACDC2",0.962157894736842
"344",2,0.75,0.75,"ACDC2",0.965666666666667
"345",2,0.75,1,"ACDC2",0.965166666666667
"346",2,1,0.1,"ACDC2",0.998
"347",2,1,0.25,"ACDC2",1
"348",2,1,0.5,"ACDC2",1
"349",2,1,0.75,"ACDC2",1
"350",2,1,1,"ACDC2",1
"351",3,0,0.1,"ACDC2",0.5
"352",3,0,0.25,"ACDC2",0.5
"353",3,0,0.5,"ACDC2",0.5
"354",3,0,0.75,"ACDC2",0.500590909090909
"355",3,0,1,"ACDC2",0.500666666666667
"356",3,0.25,0.1,"ACDC2",0.513216666666667
"357",3,0.25,0.25,"ACDC2",0.574901639344262
"358",3,0.25,0.5,"ACDC2",0.675662162162162
"359",3,0.25,0.75,"ACDC2",0.734622549019608
"360",3,0.25,1,"ACDC2",0.7446
"361",3,0.5,0.1,"ACDC2",0.800637931034483
"362",3,0.5,0.25,"ACDC2",0.881784090909091
"363",3,0.5,0.5,"ACDC2",0.917487179487179
"364",3,0.5,0.75,"ACDC2",0.928875
"365",3,0.5,1,"ACDC2",0.9298
"366",3,0.75,0.1,"ACDC2",0.974615384615385
"367",3,0.75,0.25,"ACDC2",0.982923076923077
"368",3,0.75,0.5,"ACDC2",0.9892
"369",3,0.75,0.75,"ACDC2",0.989266666666667
"370",3,0.75,1,"ACDC2",0.9918
"371",3,1,0.1,"ACDC2",1
"372",3,1,0.25,"ACDC2",1
"373",3,1,0.5,"ACDC2",1
"374",3,1,0.75,"ACDC2",1
"375",3,1,1,"ACDC2",1
"376",5,0,0.1,"ACDC2",0.5
"377",5,0,0.25,"ACDC2",0.5001
"378",5,0,0.5,"ACDC2",0.5
"379",5,0,0.75,"ACDC2",0.501156862745098
"380",5,0,1,"ACDC2",0.506166666666667
"381",5,0.25,0.1,"ACDC2",0.561724137931034
"382",5,0.25,0.25,"ACDC2",0.672085714285714
"383",5,0.25,0.5,"ACDC2",0.763098591549296
"384",5,0.25,0.75,"ACDC2",0.803972789115646
"385",5,0.25,1,"ACDC2",0.815
"386",5,0.5,0.1,"ACDC2",0.914453125
"387",5,0.5,0.25,"ACDC2",0.956357142857143
